,Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary
1,Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,10,weka.classifiers.meta.FilteredClassifier,"'-F \""weka.filters.unsupervised.attribute.StringToWordVector -R first -W 500000 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.LovinsStemmer -M 1 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\"" -W weka.classifiers.functions.LibSVM -- -S 0 -K 0 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -seed 1'",-4.52345E+18,2.01E+07,921,102,96,6,0,94.11764706,5.882352941,0,0.881624758,0.058823529,0.242535625,11.84421584,48.65575762,101.5507219,6444,-6342.449278,0.995595313,63.17647059,-62.18087528,89.48707578,0.877324272,8996.305833,0.945454545,52,0.063829787,3,0.936170213,44,0.054545455,3,0.945454545,0.945454545,0.945454545,0.940812379,0.941176471,0.059551712,0.940448288,0.058823529,0.941176471,0.941176471,0.941176471,0.940812379,0.838,0.074,0.8125,0.078125,966864,362194,325339,?
2,Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,10,weka.classifiers.meta.FilteredClassifier,"'-F \""weka.filters.unsupervised.attribute.StringToWordVector -R 1 -W 555555 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.NullStemmer -M 3 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\"" -W weka.classifiers.functions.LibSVM -- -S 0 -K 0 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -seed 1'",-4.52345E+18,2.01E+07,921,102,94,8,0,92.15686275,7.843137255,0,0.842166344,0.078431373,0.280056017,15.79228779,56.18282952,101.5507219,8592,-8490.449278,0.995595313,84.23529412,-83.2396988,85.4658604,0.837900592,8592.045406,0.927272727,51,0.085106383,4,0.914893617,43,0.072727273,4,0.927272727,0.927272727,0.927272727,0.921083172,0.921568627,0.079402283,0.920597717,0.078431373,0.921568627,0.921568627,0.921568627,0.921083172,0.739,0.061,0.71875,0.0625,701752,362194,325339,?
3,Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,10,weka.classifiers.meta.FilteredClassifier,"'-F \""weka.filters.unsupervised.attribute.StringToWordVector -R 1 -W 555555 -prune-rate -1.0 -C -T -I -N 0 -L -stemmer weka.core.stemmers.NullStemmer -M 1 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\"" -W weka.classifiers.functions.LibSVM -- -S 0 -K 0 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -seed 1'",-4.52345E+18,2.01E+07,921,102,95,7,0,93.1372549,6.862745098,0,0.861681519,0.068627451,0.261968416,13.81825181,52.55422477,101.5507219,7518,-7416.449278,0.995595313,73.70588235,-72.71028704,87.47646809,0.857612432,8794.175619,0.945454545,52,0.085106383,4,0.914893617,43,0.054545455,3,0.928571429,0.945454545,0.936936937,0.930174081,0.931372549,0.071024387,0.928975613,0.068627451,0.931433443,0.931372549,0.931312717,0.930174081,1.279,0.075,1.109375,0.078125,1358442,362194,325339,?
4,Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,10,weka.classifiers.meta.FilteredClassifier,"'-F \""weka.filters.unsupervised.attribute.StringToWordVector -R 1 -W 2000 -prune-rate -1.0 -C -T -I -N 0 -L -S -stemmer weka.core.stemmers.LovinsStemmer -M 1 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\"" -W weka.classifiers.functions.LibSVM -- -S 0 -K 0 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -seed 1'",-4.52345E+18,2.01E+07,921,102,93,9,0,91.17647059,8.823529412,0,0.822711472,0.088235294,0.297044263,17.76632376,59.59088961,101.5507219,9666,-9564.449278,0.995595313,94.76470588,-93.76911057,83.4552527,0.818188752,8389.915193,0.909090909,50,0.085106383,4,0.914893617,43,0.090909091,5,0.925925926,0.909090909,0.917431193,0.911992263,0.911764706,0.08778018,0.91221982,0.088235294,0.912059731,0.911764706,0.911824353,0.911992263,0.522,0.035,0.5,0.03125,802032,362194,325339,?
5,Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,10,weka.classifiers.meta.FilteredClassifier,"'-F \""weka.filters.unsupervised.attribute.StringToWordVector -R 1 -W 2000 -prune-rate -1.0 -C -N 0 -L -S -stemmer weka.core.stemmers.LovinsStemmer -M 1 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\"" -W weka.classifiers.functions.LibSVM -- -S 0 -K 0 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -seed 1'",-4.52345E+18,2.01E+07,921,102,93,9,0,91.17647059,8.823529412,0,0.822711472,0.088235294,0.297044263,17.76632376,59.59088961,101.5507219,9666,-9564.449278,0.995595313,94.76470588,-93.76911057,83.4552527,0.818188752,8389.915193,0.909090909,50,0.085106383,4,0.914893617,43,0.090909091,5,0.925925926,0.909090909,0.917431193,0.911992263,0.911764706,0.08778018,0.91221982,0.088235294,0.912059731,0.911764706,0.911824353,0.911992263,0.647,0.028,0.4375,0.015625,763214,362194,325339,?
6,Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,10,weka.classifiers.meta.FilteredClassifier,"'-F \""weka.filters.unsupervised.attribute.StringToWordVector -R 1 -W 2000 -prune-rate -1.0 -C -T -N 1 -L -S -stemmer weka.core.stemmers.NullStemmer -M 1 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\"" -W weka.classifiers.functions.LibSVM -- -S 0 -K 0 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -seed 1'",-4.52345E+18,2.01E+07,921,102,94,8,0,92.15686275,7.843137255,0,0.842166344,0.078431373,0.280056017,15.79228779,56.18282952,101.5507219,8592,-8490.449278,0.995595313,84.23529412,-83.2396988,85.4658604,0.837900592,8592.045406,0.927272727,51,0.085106383,4,0.914893617,43,0.072727273,4,0.927272727,0.927272727,0.927272727,0.921083172,0.921568627,0.079402283,0.920597717,0.078431373,0.921568627,0.921568627,0.921568627,0.921083172,0.506,0.056,0.46875,0.0625,1110796,362194,325339,?
