Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary
Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.StringToWordVector -R 1 -W 555555 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.NullStemmer -M 3 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\" -W weka.classifiers.bayes.NaiveBayesMultinomial',-4523450618538717400,2.01404010456E7,920.0,103.0,93.0,10.0,0.0,90.29126213592232,9.70873786407767,0.0,0.8036599313762868,0.1060038389084631,0.3081822485741659,21.358653496098455,61.87286278154802,102.4325810539072,267.7282271158301,-165.29564606192292,0.9944910781932738,2.599303175881846,-1.604812097688572,80.68295846722197,0.783329693856524,8110.216066016817,0.9285714285714286,52.0,0.1276595744680851,6.0,0.8723404255319149,41.0,0.07142857142857142,4.0,0.896551724137931,0.9285714285714286,0.912280701754386,0.9540273556231003,0.9029126213592233,0.10200076725587982,0.8979992327441203,0.0970873786407767,0.9031953279023919,0.9029126213592233,0.9027089674375894,0.9526403930710892,0.185,0.008,0.1875,0.015625,317888.0,362149.0,325384.0,?
Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.StringToWordVector -R 1 -W 555555 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.NullStemmer -M 3 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\" -W weka.classifiers.bayes.NaiveBayesMultinomial',-4523450618538717400,2.01404010456E7,920.0,103.0,92.0,11.0,0.0,89.32038834951456,10.679611650485437,0.0,0.784395813510942,0.10029453625420687,0.30758382555280905,20.208289336155957,61.75271911442562,102.4325810539072,355.8062187711042,-253.37363771719703,0.9944910781932738,3.4544293084573225,-2.459938230264049,81.45739681344482,0.7908485127518914,8188.062273406792,0.9107142857142857,51.0,0.1276595744680851,6.0,0.8723404255319149,41.0,0.08928571428571429,5.0,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9335106382978723,0.8932038834951457,0.11014917224894502,0.8898508277510551,0.10679611650485436,0.8931705583079692,0.8932038834951457,0.8931022600138392,0.9352443414878862,0.181,0.01,0.171875,0.015625,315144.0,362149.0,325384.0,?
Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.StringToWordVector -R 1 -W 555555 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.NullStemmer -M 3 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\" -W weka.classifiers.bayes.NaiveBayesMultinomial',-4523450618538717400,2.01404010456E7,920.0,103.0,89.0,14.0,0.0,86.40776699029126,13.592233009708737,0.0,0.7232245681381957,0.1289858314312634,0.34327099669069566,25.989282160106473,68.91752971948775,102.4325810539072,170.21502676648956,-67.78244571258236,0.9944910781932738,1.6525730754028112,-0.6580819972095374,75.50563595340441,0.7330644267320816,7589.793847642511,0.9285714285714286,52.0,0.2127659574468085,10.0,0.7872340425531915,37.0,0.07142857142857142,4.0,0.8387096774193549,0.9285714285714286,0.8813559322033899,0.9639057750759878,0.8640776699029126,0.14827219877829254,0.8517278012217074,0.13592233009708737,0.8677900590468478,0.8640776699029126,0.8628996065642438,0.9639057750759878,0.205,0.008,0.203125,0.015625,318940.0,362149.0,325384.0,?
Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.StringToWordVector -R 1 -W 555555 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.NullStemmer -M 3 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\" -W weka.classifiers.bayes.NaiveBayesMultinomial',-4523450618538717400,2.01404010456E7,921.0,102.0,91.0,11.0,0.0,89.2156862745098,10.784313725490197,0.0,0.7809449433814917,0.10065677960500066,0.30232825691114623,20.297363718069754,60.751800181291955,101.30750025527432,166.3621615524181,-65.05466129714377,0.993210786816415,1.631001583847236,-0.6377907970308212,80.53647607505786,0.7895732948535085,8094.330176230926,0.9285714285714286,52.0,0.15217391304347827,7.0,0.8478260869565217,39.0,0.07142857142857142,4.0,0.8813559322033898,0.9285714285714286,0.9043478260869564,0.9600155279503105,0.8921568627450981,0.11575934721714774,0.8842406527828524,0.10784313725490197,0.8929104160387055,0.8921568627450981,0.8917459313964959,0.9608908780903666,0.211,0.011,0.203125,0.015625,325666.0,362194.0,325339.0,?
Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.StringToWordVector -R 1 -W 555555 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.NullStemmer -M 3 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\" -W weka.classifiers.bayes.NaiveBayesMultinomial',-4523450618538717400,2.01404010456E7,921.0,102.0,98.0,4.0,0.0,96.07843137254902,3.9215686274509802,0.0,0.9214175654853621,0.03796782934749268,0.18449172267453467,7.656184162416578,37.07296296263744,101.30750025527432,34.69236688805681,66.61513336721751,0.993210786816415,0.340121244000557,0.653089542815858,93.45680652499004,0.9162432012253926,9392.88985681956,0.9285714285714286,52.0,0.0,0.0,1.0,46.0,0.07142857142857142,4.0,1.0,0.9285714285714286,0.962962962962963,0.9965062111801242,0.9607843137254902,0.03221288515406162,0.9677871148459385,0.0392156862745098,0.9639215686274509,0.9607843137254902,0.9608750907770517,0.9965062111801242,0.224,0.009,0.21875,0.015625,321706.0,362194.0,325339.0,?
Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.StringToWordVector -R 1 -W 555555 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.NullStemmer -M 3 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\" -W weka.classifiers.bayes.NaiveBayesMultinomial',-4523450618538717400,2.01404010456E7,921.0,102.0,90.0,12.0,0.0,88.23529411764706,11.764705882352942,0.0,0.7639799460084844,0.12220730814143706,0.3396291339687445,24.606645491121593,68.13396103005917,101.55072194489493,217.88262695626392,-116.33190501136899,0.9955953131852444,2.1361041858457246,-1.1405088726604802,76.54500534129886,0.7504412288362633,7695.214889622418,0.8727272727272727,48.0,0.10638297872340426,5.0,0.8936170212765957,42.0,0.12727272727272726,7.0,0.9056603773584906,0.8727272727272727,0.8888888888888888,0.9578336557059961,0.8823529411764706,0.11600864717260212,0.8839913528273978,0.11764705882352941,0.8833042651022673,0.8823529411764706,0.8824891067538126,0.9557837448325558,0.242,0.009,0.25,0.015625,316172.0,362194.0,325339.0,?
Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.StringToWordVector -R 1 -W 555555 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.NullStemmer -M 3 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\" -W weka.classifiers.bayes.NaiveBayesMultinomial',-4523450618538717400,2.01404010456E7,921.0,102.0,101.0,1.0,0.0,99.01960784313725,0.9803921568627451,0.0,0.9803012746234068,0.015229301174653839,0.10797012737967977,3.0664452133134272,21.660192591059126,101.55072194489493,36.64296795417191,64.90775399072302,0.9955953131852444,0.3592447838644305,0.6363505293208139,98.54997731547064,0.9661762481908887,9907.416550937207,0.9818181818181818,54.0,0.0,0.0,1.0,47.0,0.01818181818181818,1.0,1.0,0.9818181818181818,0.9908256880733944,0.9969052224371373,0.9901960784313726,0.00837789661319073,0.9916221033868093,0.00980392156862745,0.9904003267973855,0.9901960784313726,0.9902027059012884,0.9969052224371373,0.188,0.013,0.1875,0.015625,312914.0,362194.0,325339.0,?
Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.StringToWordVector -R 1 -W 555555 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.NullStemmer -M 3 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\" -W weka.classifiers.bayes.NaiveBayesMultinomial',-4523450618538717400,2.01404010456E7,921.0,102.0,94.0,8.0,0.0,92.15686274509804,7.8431372549019605,0.0,0.841183339820942,0.08410451861634749,0.27666716756138143,16.934585216448113,55.50298289386089,101.55072194489493,95.93936460972323,5.611357335171704,0.9955953131852444,0.9405820059776787,0.05501330720756572,84.41868233676003,0.8276341405564709,8486.770604869851,0.9636363636363636,53.0,0.1276595744680851,6.0,0.8723404255319149,41.0,0.03636363636363636,2.0,0.8983050847457628,0.9636363636363636,0.9298245614035089,0.9756286266924564,0.9215686274509803,0.08559183828270185,0.9144081617172982,0.07843137254901959,0.9237326779351868,0.9215686274509803,0.9212016970530903,0.9756286266924564,0.196,0.009,0.1875,0.015625,319950.0,362194.0,325339.0,?
Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.StringToWordVector -R 1 -W 555555 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.NullStemmer -M 3 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\" -W weka.classifiers.bayes.NaiveBayesMultinomial',-4523450618538717400,2.01404010456E7,921.0,102.0,96.0,6.0,0.0,94.11764705882354,5.882352941176471,0.0,0.8805154236626318,0.05007478907036648,0.21216715802585043,10.08264236759997,42.56345357616476,101.55072194489493,71.29200159328894,30.258720351605987,0.9955953131852444,0.6989411920910681,0.2966541210941763,91.21313827622984,0.8942464536885278,9169.830175891684,1.0,55.0,0.1276595744680851,6.0,0.8723404255319149,41.0,0.0,0.0,0.9016393442622951,1.0,0.9482758620689655,0.990715667311412,0.9411764705882353,0.06883604505632039,0.9311639549436797,0.0588235294117647,0.9469623915139826,0.9411764705882353,0.9406924211690946,0.990715667311412,0.196,0.01,0.1875,0.015625,313746.0,362194.0,325339.0,?
Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1,1,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.attribute.StringToWordVector -R 1 -W 555555 -prune-rate -1.0 -C -T -I -N 0 -stemmer weka.core.stemmers.NullStemmer -M 3 -tokenizer weka.core.tokenizers.AlphabeticTokenizer\" -W weka.classifiers.bayes.NaiveBayesMultinomial',-4523450618538717400,2.01404010456E7,921.0,102.0,98.0,4.0,0.0,96.07843137254902,3.9215686274509802,0.0,0.920591669910471,0.047542521866921955,0.19554407645619415,9.57276613915185,39.22865017272444,101.55072194489493,36.91584879183158,64.63487315306335,0.9955953131852444,0.3619200861944272,0.6336752269908171,92.10920853789321,0.903031456253855,9259.913822616305,1.0,55.0,0.0851063829787234,4.0,0.9148936170212766,43.0,0.0,0.0,0.9322033898305084,1.0,0.9649122807017544,0.9926499032882011,0.9607843137254902,0.0458906967042136,0.9541093032957865,0.0392156862745098,0.9634430043203722,0.9607843137254902,0.9606008485265451,0.9926499032882011,0.193,0.008,0.1875,0.015625,323260.0,362194.0,325339.0,?
